,type,latitude,longitude
63147,Pest Infestation - Residential,42.3389,-71.1565
63284,Pest Infestation - Residential,42.385,-71.017
63319,Rodent Activity,42.3178,-71.0671
63422,Rodent Activity,42.2841,-71.0954
63592,Pest Infestation - Residential,42.3368,-71.0758
63789,Rodent Activity,42.2581,-71.1178
63905,Rodent Activity,42.3227,-71.1035
63922,Rodent Activity,42.3499,-71.0905
64056,Pest Infestation - Residential,42.3835,-71.0776
64144,Rodent Activity,42.2999,-71.0671
64206,Rodent Activity,42.3116,-71.0745
64422,Rodent Activity,42.3101,-71.0677
64566,Rodent Activity,42.3463,-71.1625
64651,Rodent Activity,42.326,-71.1036
64911,Pest Infestation - Residential,42.3094,-71.1013
